name,founded,website,description,info
Alcoholics Anonymous (AA),1935,"https://www.aa.org","Provides support and fellowship for individuals recovering from alcohol addiction.","https://www.aa.org/pages/en_US/about-aa"
Narcotics Anonymous (NA),1953,"https://www.na.org","Offers a 12-step program and support for individuals recovering from drug addiction.","https://www.na.org/?ID=origins-index"
Hazelden Betty Ford Foundation,1949,"https://www.hazeldenbettyford.org","Offers addiction treatment, recovery support, and education on substance use disorders.","https://www.hazeldenbettyford.org/about-us"
SAMHSA (Substance Abuse and Mental Health Services Administration),1992,"https://www.samhsa.gov","Provides resources, treatment, and support for individuals with substance use and mental health disorders.","https://www.samhsa.gov/about-us"
National Council on Alcoholism and Drug Dependence (NCADD),1944,"https://www.ncadd.org","Advocates for prevention, intervention, and treatment of addiction.","https://www.ncadd.org/about-ncadd"
Addiction Policy Forum,2015,"https://www.addictionpolicy.org","Focuses on addiction prevention, treatment, recovery, and support for families.","https://www.addictionpolicy.org/about-us"
Center on Addiction,1992,"https://www.centeronaddiction.org","Works to transform how our nation addresses addiction through research, prevention, and treatment.","https://www.centeronaddiction.org/about-us"
Shatterproof,2012,"https://www.shatterproof.org","Aims to end the stigma of addiction and supports evidence-based treatment solutions.","https://www.shatterproof.org/about-us"
Faces & Voices of Recovery,2001,"https://facesandvoicesofrecovery.org","Advocates for recovery-oriented policies and provides resources for individuals in recovery.","https://facesandvoicesofrecovery.org/about/"
Partnership to End Addiction,2019,"https://drugfree.org","Helps families address substance use and addiction in loved ones through support and resources.","https://drugfree.org/about-us/"
Smart Recovery,1994,"https://www.smartrecovery.org","Offers science-based tools and support for individuals seeking addiction recovery.","https://www.smartrecovery.org/about-us/"
Addiction Center,2013,"https://www.addictioncenter.com","Provides information, resources, and treatment options for individuals and families affected by addiction.","https://www.addictioncenter.com/about-us/"
National Institute on Drug Abuse (NIDA),1974,"https://www.drugabuse.gov","Conducts research and provides resources on drug addiction and its treatment.","https://www.drugabuse.gov/about-nida"
Addiction Hope,2013,"https://www.addictionhope.com","Offers information, support, and resources for individuals and families affected by addiction.","https://www.addictionhope.com/about-us/"
Facing Addiction with NCADD,2015,"https://www.facingaddiction.org","Advocates for a comprehensive response to addiction and supports prevention and recovery.","https://www.facingaddiction.org/about-us/"
SMART Recovery Family & Friends,1994,"https://www.smartrecovery.org","Provides support and resources for families and friends of individuals with addiction.","https://www.smartrecovery.org/about-us/"
The Recovery Village,2013,"https://www.therecoveryvillage.com","Offers addiction treatment and recovery support services.","https://www.therecoveryvillage.com/about-us/"
AddictionResource,2014,"https://addictionresource.com","Provides information, treatment resources, and support for addiction recovery.","https://addictionresource.com/about-us/"
Drug Policy Alliance,2000,"https://www.drugpolicy.org","Advocates for drug policy reform and harm reduction approaches.","https://www.drugpolicy.org/about-us/"
National Institute on Alcohol Abuse and Alcoholism (NIAAA),1970,"https://www.niaaa.nih.gov","Conducts research on alcohol addiction and its impact on health.","https://www.niaaa.nih.gov/about-niaaa"
