name,founded,website,description,info
World Wildlife Fund (WWF),1961,"https://www.worldwildlife.org","Works to conserve nature and address environmental challenges globally.","https://www.worldwildlife.org/about"
The Nature Conservancy,1951,"https://www.nature.org","Protects lands and waters, fosters conservation, and addresses climate change.","https://www.nature.org/en-us/what-we-do/"
National Audubon Society,1905,"https://www.audubon.org","Dedicated to the protection of birds and their habitats across the Americas.","https://www.audubon.org/about"
Rainforest Foundation,1987,"https://www.rainforestfoundation.org","Supports indigenous communities in protecting rainforests and their rights.","https://www.rainforestfoundation.org/who-we-are/"
Wildlife Conservation Society,1895,"https://www.wcs.org","Saves wildlife and wild places through science, conservation, and education.","https://www.wcs.org/about-us"
The Sierra Club,1892,"https://www.sierraclub.org","Promotes environmental protection and responsible use of natural resources.","https://www.sierraclub.org/about"
Earthjustice,1971,"https://www.earthjustice.org","Uses legal action to protect the environment and public health.","https://www.earthjustice.org/about"
National Wildlife Federation,1936,"https://www.nwf.org","Works to protect wildlife and habitats and connect people with nature.","https://www.nwf.org/who-we-are"
Conservation International,1987,"https://www.conservation.org","Empowers societies to responsibly and sustainably care for nature.","https://www.conservation.org/about"
The Jane Goodall Institute,1977,"https://www.janegoodall.org","Promotes wildlife conservation, research, and community development.","https://www.janegoodall.org/about/"
Defenders of Wildlife,1947,"https://www.defenders.org","Protects native animals and their habitats in North America.","https://www.defenders.org/about-us"
Center for Biological Diversity,1989,"https://www.biologicaldiversity.org","Advocates for the protection of endangered species and wild places.","https://www.biologicaldiversity.org/about/"
American Rivers,1973,"https://www.americanrivers.org","Works to protect and restore rivers and clean water in the United States.","https://www.americanrivers.org/about-us/"
The Ocean Conservancy,1972,"https://www.oceanconservancy.org","Addresses ocean conservation and sustainable fisheries globally.","https://www.oceanconservancy.org/about"
Bat Conservation International,1982,"https://www.batcon.org","Dedicated to the conservation of bats and their ecosystems worldwide.","https://www.batcon.org/about/"
National Park Foundation,1967,"https://www.nationalparks.org","Supports America's national parks through philanthropy and advocacy.","https://www.nationalparks.org/about"
The Wildlife Trusts,1912,"https://www.wildlifetrusts.org","Works to protect and restore wildlife and habitats across the United Kingdom.","https://www.wildlifetrusts.org/about-us"
World Resources Institute (WRI),1982,"https://www.wri.org","Addresses environmental and sustainability challenges through research and analysis.","https://www.wri.org/about"
Polar Bears International,2002,"https://www.polarbearsinternational.org","Focuses on polar bear conservation and the Arctic ecosystem.","https://www.polarbearsinternational.org/about-us/"
Rainforest Trust,1988,"https://www.rainforesttrust.org","Conserves tropical rainforests and endangered wildlife.","https://www.rainforesttrust.org/about/"
