name,founded,website,description,info
World Vision,1950,"https://www.worldvision.org","Focuses on child sponsorship and community development to address poverty and injustice worldwide.","https://www.worldvision.org/about-us"
Samaritan's Purse,1970,"https://www.samaritanspurse.org","Provides emergency relief and development assistance to communities in need around the world.","https://www.samaritanspurse.org/our-ministry/about-us/"
Compassion International,1952,"https://www.compassion.com","Offers child sponsorship programs and support to alleviate child poverty globally.","https://www.compassion.com/about/about-us.htm"
Operation Blessing,1978,"https://www.ob.org","Provides humanitarian aid, disaster relief, and community development support worldwide.","https://www.ob.org/about-us/"
Food for the Hungry,1971,"https://www.fh.org","Works to end poverty and provide sustainable solutions to vulnerable communities globally.","https://www.fh.org/about-us/"
Catholic Relief Services (CRS),1943,"https://www.crs.org","Supports international humanitarian and development efforts with a focus on Catholic values.","https://www.crs.org/about/who-we-are"
World Relief,1944,"https://www.worldrelief.org","Empowers local churches to serve vulnerable communities through relief and development programs.","https://www.worldrelief.org/about-us/"
Hope International,1997,"https://www.hopeinternational.org","Provides microfinance and savings services to alleviate poverty and promote entrepreneurship.","https://www.hopeinternational.org/about-us/"
Samaritan Ministries,1994,"https://samaritanministries.org","A Christian healthcare sharing ministry that provides medical cost-sharing among its members.","https://samaritanministries.org/about-us/"
Medical Teams International,1979,"https://www.medicalteams.org","Delivers medical and dental care, humanitarian aid, and disaster relief around the world.","https://www.medicalteams.org/about/mission-and-vision/"
Open Doors USA,1955,"https://www.opendoorsusa.org","Supports persecuted Christians worldwide by providing aid, advocacy, and awareness.","https://www.opendoorsusa.org/about-us/"
The Salvation Army,1865,"https://www.salvationarmyusa.org","Provides a range of social services, including shelter, addiction recovery, and disaster relief.","https://www.salvationarmyusa.org/usn/about/"
World Challenge,1971,"https://worldchallenge.org","Supports global missions, education, and humanitarian work to alleviate suffering and share the Gospel.","https://worldchallenge.org/about/"
American Bible Society,1816,"https://www.americanbible.org","Promotes the Bible's availability and engagement to help people experience its life-changing message.","https://www.americanbible.org/about-us/"
Prison Fellowship,1976,"https://www.prisonfellowship.org","Offers faith-based programs and support for prisoners, ex-offenders, and their families.","https://www.prisonfellowship.org/about/"
Bread for the World,1974,"https://www.bread.org","Advocates for policies to end hunger and poverty in the United States and around the world.","https://www.bread.org/about-us"
Mercy Ships,1978,"https://www.mercyships.org","Operates hospital ships that provide free medical care and community development in developing nations.","https://www.mercyships.org/about-us/"
Wycliffe Bible Translators,1942,"https://www.wycliffe.org","Focuses on translating the Bible into languages that do not yet have access to Scripture.","https://www.wycliffe.org/about/who-we-are"
World Renew,1962,"https://www.worldrenew.net","Addresses poverty and injustice by partnering with communities to create lasting change.","https://www.worldrenew.net/about/who-we-are"
Christian Aid Ministries,1981,"https://christianaidministries.org","Provides disaster relief, humanitarian aid, and community development assistance worldwide.","https://christianaidministries.org/about-us/"
