name,founded,website,description,info
The Nature Conservancy,1951,"https://www.nature.org","Works to conserve land and waters for nature and people around the world.","https://www.nature.org/en-us/about-us/"
Sierra Club,1892,"https://www.sierraclub.org","Promotes environmental protection and supports efforts to combat climate change.","https://www.sierraclub.org/about"
Environmental Defense Fund,1967,"https://www.edf.org","Advocates for solutions to environmental challenges, including climate change.","https://www.edf.org/about"
Natural Resources Defense Council (NRDC),1970,"https://www.nrdc.org","Works to safeguard the earth and supports policies to address climate change.","https://www.nrdc.org/about"
World Wildlife Fund (WWF),1961,"https://www.worldwildlife.org","Works to protect nature and wildlife and addresses climate change.","https://www.worldwildlife.org/about"
350.org,2008,"https://350.org","Engages in grassroots climate action and advocacy for a just transition.","https://350.org/about/"
The Climate Reality Project,2006,"https://www.climaterealityproject.org","Educates and mobilizes people to take action on climate change.","https://www.climaterealityproject.org/about"
Environmental Working Group (EWG),1993,"https://www.ewg.org","Advocates for healthier food, water, and a cleaner environment.","https://www.ewg.org/about-us"
Climate Central,2008,"https://www.climatecentral.org","Provides climate science and information to help people make informed decisions.","https://www.climatecentral.org/about"
Union of Concerned Scientists (UCS),1969,"https://www.ucsusa.org","Advocates for science-based solutions to address climate change and other global issues.","https://www.ucsusa.org/about"
Conservation International,1987,"https://www.conservation.org","Works to protect nature for the well-being of humanity, including addressing climate change.","https://www.conservation.org/about"
Clean Air Task Force,1996,"https://www.catf.us","Focuses on eliminating air pollution and addressing climate change through technology and policy solutions.","https://www.catf.us/about-us"
Earthjustice,1971,"https://earthjustice.org","Provides legal support for environmental protection and climate justice.","https://earthjustice.org/about"
ClimateWorks Foundation,2008,"https://www.climateworks.org","Supports efforts to mitigate climate change through philanthropy and strategic grants.","https://www.climateworks.org/about/"
Rocky Mountain Institute,1982,"https://rmi.org","Drives the global energy transition and addresses climate change through research and collaboration.","https://rmi.org/about/"
Climate Group,2004,"https://www.theclimategroup.org","Works with businesses and governments to accelerate climate action and clean technologies.","https://www.theclimategroup.org/about"
Rainforest Foundation US,1989,"https://rainforestfoundation.org","Protects tropical rainforests and addresses climate change through indigenous rights.","https://rainforestfoundation.org/about-us"
Greenpeace USA,1971,"https://www.greenpeace.org/usa","Takes action on climate change and other environmental issues through advocacy and direct action.","https://www.greenpeace.org/usa/about"
The Energy Foundation,1991,"https://www.energyfoundation.org","Supports policies and innovation for a sustainable energy future and climate solutions.","https://www.energyfoundation.org/about/"
Climate Reality Action Fund,2006,"https://www.climaterealityactionfund.org","Advocates for climate solutions and environmental justice through political action.","https://www.climaterealityactionfund.org/about/"
