name,founded,website,photo,description,info
International Rescue Committee,1933,"https://www.rescue.org","https://www.rescue.org/sites/default/files/styles/node_full/public/IRC_Logo_Standard%20Web%20Res.png","Provides humanitarian aid, relief, and resettlement assistance to refugees and displaced persons worldwide.","https://www.rescue.org/about-us"
United Nations High Commissioner for Refugees (UNHCR),1950,"https://www.unhcr.org","https://www.unhcr.org/thumb1/5910c2724.jpg","Leads international efforts to protect and assist refugees and forcibly displaced populations.","https://www.unhcr.org/about-us/"
American Immigration Council,1987,"https://www.americanimmigrationcouncil.org","https://www.americanimmigrationcouncil.org/sites/default/files/field/image/logo.gif","Advocates for immigrants' rights and a fair immigration system in the United States.","https://www.americanimmigrationcouncil.org/about"
Human Rights First,1978,"https://www.humanrightsfirst.org","https://www.humanrightsfirst.org/sites/default/files/styles/social_share_image/public/uploads/hrf-logo.jpg?itok=J0o3O59F","Works to protect the rights of refugees and asylum seekers, advocating for fair asylum processes.","https://www.humanrightsfirst.org/about"
Catholic Legal Immigration Network, Inc. (CLINIC),1988,"https://cliniclegal.org","https://cliniclegal.org/sites/default/files/styles/medium/public/2021-01/CLINIC%20-%20Logo%20color.png","Supports legal immigration services and advocates for immigrant rights in the United States.","https://cliniclegal.org/about-us"
Asylum Seeker Advocacy Project (ASAP),2015,"https://asylumadvocacy.org","https://asylumadvocacy.org/wp-content/uploads/2018/08/asap-logo.png","Provides legal assistance and community support to asylum seekers in the United States.","https://asylumadvocacy.org/about"
International Institute of Los Angeles,1914,"https://www.iilosangeles.org","https://www.iilosangeles.org/wp-content/uploads/2020/10/iila-logo.png","Offers immigration legal services, refugee resettlement, and immigrant support programs in Los Angeles.","https://www.iilosangeles.org/about"
Refugee Transitions,1982,"https://www.reftrans.org","https://www.reftrans.org/wp-content/uploads/2019/02/RT-Primary-Color-Logo.png","Empowers refugee and immigrant newcomers to achieve self-sufficiency and success in the United States.","https://www.reftrans.org/about"
Tahirih Justice Center,1997,"https://www.tahirih.org","https://www.tahirih.org/wp-content/uploads/2020/02/Tahirih-Logo-Blue.png","Protects immigrant women and girls fleeing violence and advocates for gender justice.","https://www.tahirih.org/about"
HIAS,1881,"https://www.hias.org","https://www.hias.org/sites/default/files/styles/hi_res/public/inline-images/0_HIAS_Logo_2C_RGB_Positive_Web.png","Provides humanitarian aid and legal assistance to refugees and asylum seekers worldwide.","https://www.hias.org/about-us"
Freedom for Immigrants,2012,"https://www.freedomforimmigrants.org","https://www.freedomforimmigrants.org/wp-content/uploads/2018/08/FFIlogo.png","Works to abolish immigration detention and advocates for the rights of detained immigrants.","https://www.freedomforimmigrants.org/about-us"
Kids in Need of Defense (KIND),2008,"https://supportkind.org","https://supportkind.org/wp-content/uploads/2020/08/KIND_Color_Logo.png","Protects the rights of unaccompanied immigrant and refugee children in the United States.","https://supportkind.org/about-us"
The Young Center for Immigrant Children's Rights,2004,"https://www.theyoungcenter.org","https://www.theyoungcenter.org/wp-content/uploads/2019/02/YC_Solid_Black.png","Promotes the best interests of unaccompanied immigrant children by providing legal advocacy and support.","https://www.theyoungcenter.org/about-us"
Immigrant Legal Resource Center,1979,"https://www.ilrc.org","https://www.ilrc.org/sites/default/files/images/ILRC_Logo_4C.png","Supports immigration attorneys and advocates for immigrant rights and justice.","https://www.ilrc.org/about-us"
No More Deaths,2004,"https://nomoredeaths.org","https://nomoredeaths.org/wp-content/uploads/2015/11/nmd-logo-color-300.png","A humanitarian organization providing aid and advocacy for migrants along the U.S.-Mexico border.","https://nomoredeaths.org/about-us"
National Immigrant Justice Center,1999,"https://immigrantjustice.org","https://immigrantjustice.org/sites/default/files/media/images/logo-nijc.png","Provides legal services and advocates for immigrant and refugee rights in the United States.","https://immigrantjustice.org/about-nijc"
The Florence Project,1989,"https://firrp.org","https://firrp.org/wp-content/uploads/2021/05/Florence-Project-Logo-CMYK-50-1024x479.png","Offers free legal services to immigrants and refugees detained in Arizona.","https://firrp.org/about"
Al Otro Lado,2012,"https://alotrolado.org","https://alotrolado.org/wp-content/uploads/2021/05/AOLLogo.png","Provides legal and humanitarian aid to migrants and refugees at the U.S.-Mexico border.","https://alotrolado.org/about"
World Relief,1944,"https://www.worldrelief.org","https://www.worldrelief.org/wp-content/themes/worldrelief/assets/img/logo-worldrelief-color.png","Empowers local churches to assist immigrants and refugees in the United States.","https://www.worldrelief.org/about"
Human Rights Initiative of North Texas,1999,"https://hrionline.org","https://hrionline.org/wp-content/uploads/2018/03/HRI-Logo.png","Provides legal and social services to refugees and immigrants seeking safety in the United States.","https://hrionline.org/about"
