name,founded,website,photo,description,info
HIAS (Hebrew Immigrant Aid Society),1881,"https://www.hias.org","https://www.hias.org/sites/default/files/styles/hi_res/public/inline-images/0_HIAS_Logo_2C_RGB_Positive_Web.png","Provides humanitarian aid and advocacy for refugees and immigrants worldwide.","https://www.hias.org/about-us"
Jewish Family Service (JFS) Refugee & Immigrant Services,1867,"https://www.jfssd.org","https://www.jfssd.org/wp-content/uploads/2017/04/jfs-logo.png","Supports refugees and immigrants in San Diego through various programs and services.","https://www.jfssd.org/about/"
IsraAID,,,"https://www.israaid.org","An Israeli-based humanitarian aid organization that provides disaster relief and development assistance to communities worldwide, including refugees.","https://www.israaid.org/about-us/"
Jewish Vocational Service (JVS) Boston,1938,"https://www.jvs-boston.org","https://www.jvs-boston.org/wp-content/uploads/2018/09/JVS_LOGO_4C-1-1024x370.png","Empowers refugees and immigrants in the Boston area through education and employment services.","https://www.jvs-boston.org/about/"
New Israel Fund,,,"https://www.nif.org","Supports social justice organizations in Israel, including those working with refugees and asylum seekers.","https://www.nif.org/about/"
National Council of Jewish Women (NCJW) Immigrant Rights Initiative,1893,"https://www.ncjw.org","https://www.ncjw.org/wp-content/uploads/2021/09/NCJW-FB-Profile-Photo-v1-600x315.png","Advocates for immigrant and refugee rights and provides support to vulnerable populations.","https://www.ncjw.org/about/"
Jewish Community Services (JCS) of South Florida,1920,"https://jcsfl.org","https://jcsfl.org/wp-content/uploads/2021/09/JCS-logo-2021-350px.png","Assists refugees and immigrants in South Florida with resettlement and support services.","https://jcsfl.org/about-us/"
Asylum Seeker Advocacy Project (ASAP),2015,"https://asylumadvocacy.org","https://asylumadvocacy.org/wp-content/uploads/2018/08/asap-logo.png","Provides legal assistance and community support to asylum seekers in the United States.","https://asylumadvocacy.org/about"
Habonim Dror North America,,,"https://www.habonimdror.org","A progressive Jewish youth movement that engages in social justice and supports refugee and immigrant causes.","https://www.habonimdror.org/about/"
HIAS Pennsylvania,1882,"https://hiaspa.org","https://hiaspa.org/wp-content/uploads/2021/09/HIAS-PA-Logo-Wide-CMYK.png","Assists immigrants, refugees, and asylum seekers in Pennsylvania with legal and social services.","https://hiaspa.org/about/"
Jewish Coalition for Immigrant Justice NW,,,"https://www.jcij.org","A network of Jewish organizations and individuals working for immigrant justice and refugee support in the Pacific Northwest.","https://www.jcij.org/about/"
T'ruah: The Rabbinic Call for Human Rights,,,"https://www.truah.org","Mobilizes rabbis and their communities to advocate for human rights, including refugee and immigrant rights.","https://www.truah.org/about-us/"
Jewish Family and Children's Services (JFCS) San Francisco,,,"https://www.jfcs.org","Provides comprehensive services, including refugee resettlement, to individuals and families in the San Francisco Bay Area.","https://www.jfcs.org/about/"
Jewish Council for Public Affairs (JCPA),1944,"https://www.jewishpublicaffairs.org","https://www.jewishpublicaffairs.org/wp-content/uploads/2021/06/JCPA-Logo-Color.png","Advocates for social justice and works on various policy issues, including immigration and refugees.","https://www.jewishpublicaffairs.org/about-us/"
HIAS Chicago,,,"https://www.hiaschicago.org","Provides legal and social services to immigrants, refugees, and asylum seekers in the Chicago area.","https://www.hiaschicago.org/about/"
Repair the World,,,"https://werepair.org","Engages Jewish young adults in volunteer service and advocacy, including projects that support immigrants and refugees.","https://werepair.org/about/"
Jewish Family Service (JFS) Columbus,1947,"https://www.jfscolumbus.org","https://www.jfscolumbus.org/wp-content/uploads/2021/04/JFS_Logo_Orange-2-1400x400.png","Offers resettlement and support services to refugees and immigrants in Columbus, Ohio.","https://www.jfscolumbus.org/about/"
Jewish Federation of Greater Los Angeles,,,"https://www.jewishla.org","Supports various charitable organizations, including those that aid refugees and immigrants in Los Angeles.","https://www.jewishla.org/about/"
Jewish Family and Community Services (JFCS) Arizona,1935,"https://www.jfcsaz.org","https://www.jfcsaz.org/wp-content/uploads/2020/04/jfcsaz-logo-color.png","Provides comprehensive social services, including refugee resettlement, in Arizona.","https://www.jfcsaz.org/about/"
