name,founded,website,photo,description,info
UNRWA (United Nations Relief and Works Agency for Palestine Refugees in the Near East),1950,"https://www.unrwa.org","https://www.unrwa.org/sites/default/files/styles/institution_logo_thumbnail/public/UNRWA_Logo_0.png","Provides assistance, education, healthcare, and social services to Palestinian refugees.","https://www.unrwa.org/about-us"
MAP (Medical Aid for Palestinians),1984,"https://www.map.org.uk","https://www.map.org.uk/app/uploads/2021/09/MAP-LOGO-RGB-White-Background.png","Offers medical and healthcare support to Palestinians in the Middle East.","https://www.map.org.uk/about-us/"
PCRF (Palestine Children's Relief Fund),1991,"https://www.pcrf.net","https://www.pcrf.net/images/pcrflogo.png","Provides medical care, surgeries, and humanitarian aid to Palestinian children in need.","https://www.pcrf.net/about-us/"
ANERA (American Near East Refugee Aid),1968,"https://www.anera.org","https://www.anera.org/wp-content/uploads/2020/03/ANERA-full-color-transparent.png","Supports Palestinian refugees and vulnerable communities with humanitarian and development programs.","https://www.anera.org/about/"
The Palestine Red Crescent Society,1968,"https://www.palestinercs.org","https://www.palestinercs.org/app/uploads/2020/09/logo.png","Delivers healthcare and emergency services to Palestinians in the West Bank, Gaza, and beyond.","https://www.palestinercs.org/about-us/"
Middle East Children's Alliance (MECA),1988,"https://www.mecaforpeace.org","https://www.mecaforpeace.org/wp-content/uploads/2016/09/meca-logo-final.png","Supports Palestinian children and families with education, healthcare, and relief programs.","https://www.mecaforpeace.org/about/"
Al-Mezan Center for Human Rights,1999,"https://www.mezan.org","https://www.mezan.org/site/wp-content/uploads/2015/08/logo-mezan.png","Advocates for human rights and provides legal aid to Palestinians in Gaza.","https://www.mezan.org/about-mezan/"
PCDCR (Palestinian Center for Democracy and Conflict Resolution),1998,"https://www.pcdcr.org","https://www.pcdcr.org/wp-content/uploads/2021/06/Untitled-design-39.png","Works on child protection, youth empowerment, and community development in Palestine.","https://www.pcdcr.org/about-us/"
Adalah - The Legal Center for Arab Minority Rights in Israel,1996,"https://www.adalah.org","https://www.adalah.org/en/wp-content/uploads/2018/06/adalah-en.png","Advocates for the rights of Palestinian citizens of Israel through legal action and advocacy.","https://www.adalah.org/en/about-us/"
Tamer Institute for Community Education,1989,"https://www.tamerinst.org","https://www.tamerinst.org/img/tamer.png","Focuses on education and literacy programs for Palestinian children and youth.","https://www.tamerinst.org/about-us/"
UNICEF State of Palestine,,,"https://www.unicef.org/palestine","Supports the well-being and rights of Palestinian children through various programs and initiatives.","https://www.unicef.org/palestine/about-us"
Defense for Children International - Palestine,1991,"https://www.dci-palestine.org","https://www.dci-palestine.org/sites/default/files/inline-images/dci-logo.png","Promotes and protects the rights of Palestinian children through advocacy and legal efforts.","https://www.dci-palestine.org/about"
Palestine Aid Society,2002,"https://www.palestine-aid-society.org","https://www.palestine-aid-society.org/wp-content/uploads/2020/10/logo-Palestine-Aid-Society.png","Provides humanitarian aid, education, and healthcare support to Palestinians in need.","https://www.palestine-aid-society.org/about-us/"
Hope Flowers School,1984,"https://hopeflowersschool.org","https://hopeflowersschool.org/wp-content/uploads/2020/05/Hope-Flowers-Logo-1.png","Focuses on education and peace-building efforts in the West Bank.","https://hopeflowersschool.org/about-us/"
