name,founded,website,description,info
Chabad-Lubavitch,1775,"https://www.chabad.org","Promotes Jewish education, outreach, and community support worldwide.","https://www.chabad.org/about/default_cdo/jewish/Chabad-Lubavitch.htm"
Jewish National Fund (JNF),1901,"https://www.jnf.org","Supports environmental, community development, and land reclamation projects in Israel.","https://www.jnf.org/about-jnf"
World Jewish Congress,1936,"https://www.worldjewishcongress.org","Advocates for Jewish interests, human rights, and combating anti-Semitism worldwide.","https://www.worldjewishcongress.org/en/about"
American Jewish Committee (AJC),1906,"https://www.ajc.org","Works to enhance the well-being of the Jewish people and promote democratic values worldwide.","https://www.ajc.org/about-ajc"
United Jewish Appeal (UJA-Federation),1917,"https://www.ujafedny.org","Supports a network of organizations addressing Jewish needs and global challenges.","https://www.ujafedny.org/about-us/"
Yad Vashem,1953,"https://www.yadvashem.org","Commemorates the Holocaust and educates about its history and lessons.","https://www.yadvashem.org/about.html"
Orthodox Union (OU),1898,"https://www.ou.org","Promotes Orthodox Judaism and supports Jewish communities through various programs.","https://www.ou.org/about/"
Hadassah,1912,"https://www.hadassah.org","Focuses on healthcare, research, and women's issues in Israel and worldwide.","https://www.hadassah.org/about-us/"
Jewish Federations of North America,1932,"https://www.jewishfederations.org","Supports Jewish communal organizations and social services across North America.","https://www.jewishfederations.org/about"
Simon Wiesenthal Center,1977,"https://www.wiesenthal.com","Combats anti-Semitism, promotes tolerance, and educates about the Holocaust.","https://www.wiesenthal.com/about"
Yeshiva University,1886,"https://www.yu.edu","Offers education and research in Orthodox Jewish studies and general academics.","https://www.yu.edu/about"
Hillel International,1923,"https://www.hillel.org","Supports Jewish student life on college campuses worldwide.","https://www.hillel.org/about/"
Mazon: A Jewish Response to Hunger,1985,"https://www.mazon.org","Works to end hunger among people of all faiths through advocacy and support.","https://www.mazon.org/about-mazon/"
B'nai B'rith International,1843,"https://www.bnaibrith.org","Promotes human rights, community service, and interfaith understanding.","https://www.bnaibrith.org/about"
Jewish Family Service (JFS),1850,"https://www.jfsla.org","Provides social services, mental health, and support to individuals and families.","https://www.jfsla.org/about-us/"
Jewish Theological Seminary (JTS),1886,"https://www.jtsa.edu","Offers education and training in Conservative Judaism and Jewish scholarship.","https://www.jtsa.edu/about-jts"
Jewish Community Centers (JCC),1854,"https://www.jcca.org","Supports Jewish community life and wellness through programs and services.","https://www.jcca.org/about-us/"
American Jewish World Service (AJWS),1985,"https://ajws.org","Advocates for human rights and social justice in the developing world.","https://ajws.org/about-us/"
Jewish Federation of Greater Los Angeles,1911,"https://www.jewishla.org","Serves the Jewish community and addresses critical social issues in Los Angeles.","https://www.jewishla.org/about/"
Hebrew Free Loan Society,1892,"https://www.hfls.org","Offers interest-free loans to individuals and small businesses in need.","https://www.hfls.org/about-us/"
