name,founded,website,photo,description,info
Bananas,1973,https://www.bananasbunch.org,https://localwiki.org/oakland/Bananas_%28Child_Care_Referral%29,"A non-profit child care referral and support agency serving Northern Alameda County.",https://localwiki.org/oakland/Bananas_%28Child_Care_Referral%29
East Bay Children's Book Project,May 2005,https://www.eastbaychildrensbookproject.org,,"Focuses on building literacy by providing free books to children in need.",https://localwiki.org/oakland/East_Bay_Children%27s_Book_Project
East Oakland Youth Development Center,,https://www.eoydc.org,,"Provides educational, social, and physical development activities for youth in East Oakland.",https://localwiki.org/oakland/East_Oakland_Youth_Development_Center
Ella Baker Center for Human Rights,1996,https://www.ellabakercenter.org,,"Named after civil rights crusader Ella Baker, the center focuses on organizing, leadership development, and advocacy.",https://localwiki.org/oakland/Ella_Baker_Center_for_Human_Rights
Oakland Community Organizations,,https://www.oaklandcommunity.org,,"A consortium of non-profits focused on social justice.",https://localwiki.org/oakland/Oakland_Community_Organizations
Asian Prisoner Support Committee,2002,www.asianprisonersupport.com,,"Supports incarcerated Asian and Pacific Islanders with leadership programs and anti-deportation campaigns.",https://oaklandside.org/2022/12/20/looking-to-donate-locally-here-are-10-oakland-organizations-to-consider-this-holiday-season/
Community Kitchens,,www.ckoakland.org,,"Focuses on food justice and supports community meals for Oaklanders in need.",https://oaklandside.org/2022/12/20/looking-to-donate-locally-here-are-10-oakland-organizations-to-consider-this-holiday-season/
Committees United for Restorative Youth Justice (CURYJ),,curyj.org,,"Supports formerly incarcerated individuals, promotes community healing and policy change.",https://oaklandside.org/2022/12/20/looking-to-donate-locally-here-are-10-oakland-organizations-to-consider-this-holiday-season/
Homies Empowerment,2009,www.homiesempowerment.com,,"Offers programs encouraging community self-sufficiency in East Oakland.",https://oaklandside.org/2022/12/20/looking-to-donate-locally-here-are-10-oakland-organizations-to-consider-this-holiday-season/
Native American Health Center,,www.nativehealth.org,,"Provides health and community services in the Bay Area, including housing-attorney consultations and dental care.",https://oaklandside.org/2022/12/20/looking-to-donate-locally-here-are-10-oakland-organizations-to-consider-this-holiday-season/
East Oakland Youth Development Center,,eoydc.org,,"Offers GED preparation, counseling, and job opportunities to Oakland youth.",https://oaklandside.org/2022/12/20/looking-to-donate-locally-here-are-10-oakland-organizations-to-consider-this-holiday-season/
Oakland Reach,,oaklandreach.org,,"A parent-led advocacy organization working to educate parents for educational system change.",https://oaklandside.org/2022/12/20/looking-to-donate-locally-here-are-10-oakland-organizations-to-consider-this-holiday-season/
Peoples’ Programs,,www.peoplesprograms.com,,"Hosts the Hella Black podcast and supports community workshops and a mobile health clinic.",https://oaklandside.org/2022/12/20/looking-to-donate-locally-here-are-10-oakland-organizations-to-consider-this-holiday-season/
Punks with Lunch,,www.punkswithlunch.org,,"Provides harm-reduction services including community clean-ups and narcan trainings in West Oakland.",https://oaklandside.org/2022/12/20/looking-to-donate-locally-here-are-10-oakland-organizations-to-consider-this-holiday-season/
Keep Oakland Housed,,www.keepoaklandhoused.org,,"Supports community-led homelessness organizations in Oakland.",https://www.oaklandca.gov/resources/what-you-can-do-to-help-reduce-homelessness
City Team,,cityteam.org,,"Brings food to community cabins as part of homelessness support.",https://www.oaklandca.gov/resources/what-you-can-do-to-help-reduce-homelessness
Abode Services,,www.abodeservices.org,,"Offers volunteer opportunities in various roles including meal preparation and tutoring.",https://www.oaklandca.gov/resources/what-you-can-do-to-help-reduce-homelessness
Ariel Outreach Mission,,www.arielom.org,,"Provides services to support those at risk of homelessness.",https://www.oaklandca.gov/resources/what-you-can-do-to-help-reduce-homelessness
Building Futures with Women and Children,,bfwc.org,,"Supports women and children with shelter, meals, and other assistance.",https://www.oaklandca.gov/resources/what-you-can-do-to-help-reduce-homelessness
Building Opportunities for Self-Sufficiency (BOSS),,www.self-sufficiency.org,,"Offers volunteer opportunities for community support, including food runs and fundraising.",https://www.oaklandca.gov/resources/what-you-can-do-to-help-reduce-homelessness
Courageous Women Association,,www.courageouswomen.org,,"Supports women through various volunteer programs.",https://www.oaklandca.gov/resources/what-you-can-do-to-help-reduce-homelessness
Diamond in the Ruff,,www.adiamondintheruff.org,,"Serves at-risk individuals in the community, including victims of domestic violence and the unhoused.",https://www.oaklandca.gov
