name,founded,website,photo,description,info
Alameda County Community Food Bank,1985,"https://www.accfb.org","https://www.accfb.org/images/default-source/default-album/homepage-carousel.jpg?sfvrsn=0","Distributes millions of healthy meals each year to hungry families and individuals in Alameda County.","https://www.accfb.org/about/"
Crisis Support Services of Alameda County,1966,"https://www.crisissupport.org","https://www.crisissupport.org/wp-content/uploads/2020/07/CSS-Logo-2019.svg","Offers crisis intervention, suicide prevention, and emotional support services.","https://www.crisissupport.org/about-us/"
Alameda County Community Development Agency,,,"https://www.acgov.org/cda/","Focuses on improving the quality of life for all residents by promoting economic opportunity, affordable housing, and community development.","https://www.acgov.org/cda/about.htm"
Save the Bay,1961,"https://www.savesfbay.org","https://www.savesfbay.org/wp-content/uploads/2020/11/Save-the-Bay-Logo.png","Dedicated to protecting and restoring San Francisco Bay for people and wildlife.","https://www.savesfbay.org/about"
Alameda County Meals on Wheels,1973,"https://www.feedingseniors.org","https://www.feedingseniors.org/wp-content/themes/mealsonwheels/images/logo.png","Delivers nutritious meals to homebound seniors to help them maintain their independence.","https://www.feedingseniors.org/about"
The East Bay SPCA,1874,"https://www.eastbayspca.org","https://www.eastbayspca.org/wp-content/uploads/2018/08/EBSPCA_Logo.png","Provides comprehensive animal welfare services and finds loving homes for animals.","https://www.eastbayspca.org/about-us/"
The Volunteer Center of the East Bay,,,"https://www.volunteercenter.net/","Connects individuals and groups with volunteer opportunities to make a positive impact in the community.","https://www.volunteercenter.net/about-us"
Alameda County Community Legal Services,,,"https://www.acbanet.org/","Provides free legal assistance to low-income individuals and families in Alameda County.","https://www.acbanet.org/about"
Alameda County Library Foundation,1994,"https://www.aclibrary.org/foundation","https://www.aclibrary.org/homepage/images/logo.png","Supports the Alameda County Library system by raising funds for library programs and services.","https://www.aclibrary.org/foundation/about-us"
Berkeley Humane,1927,"https://www.berkeleyhumane.org","https://www.berkeleyhumane.org/wp-content/uploads/2021/04/Berkeley-Humane-Logo-Blue-Grey.png","Rescues and finds loving homes for dogs and cats while promoting the welfare of animals.","https://www.berkeleyhumane.org/about"
Alameda County Community Health Center,,,"https://achc.caresuite.com/","Provides accessible, high-quality healthcare services to underserved populations in Alameda County.","https://achc.caresuite.com/about"
East Bay Asian Local Development Corporation (EBALDC),,,,"Strengthens communities by providing affordable housing, community development, and services.","https://ebaldc.org/about-us/"
Alameda County Foster Youth Alliance,,,"https://www.acfya.org/","Supports foster youth through mentoring, education, and advocacy to help them thrive.","https://www.acfya.org/about-us"
The Alameda Point Collaborative,,,"https://apcollaborative.org/","Helps homeless individuals and families stabilize their lives through housing and supportive services.","https://apcollaborative.org/about-us/"
East Bay Sanctuary Covenant,1982,"https://eastbaysanctuary.org","https://eastbaysanctuary.org/wp-content/uploads/2018/12/EBSC-Seal_Color.png","Provides sanctuary, solidarity, support, and legal services to immigrants and refugees.","https://eastbaysanctuary.org/about-us/"
Alameda County Community Development Agency Housing Authority,,,"https://www.haca.net/","Manages affordable housing programs and provides housing assistance to eligible residents.","https://www.haca.net/about-haca"
Tri-City Health Center,1970,"https://tri-cityhealth.org","https://tri-cityhealth.org/wp-content/uploads/2019/09/logo-2.png","Offers comprehensive healthcare services, including medical, dental, and behavioral health, to all residents.","https://tri-cityhealth.org/about/"
Alameda County Resource Conservation District,,,"https://www.alamedarcd.org/","Works to conserve and protect natural resources, including soil, water, and wildlife habitat.","https://www.alamedarcd.org/about-us"
Alameda County Meals on Wheels - Friendly Visitors Program,,,"https://www.feedingseniors.org","https://www.feedingseniors.org/wp-content/themes/mealsonwheels/images/logo.png","Provides social interaction and companionship to homebound seniors.","https://www.feedingseniors.org/friendly-visitors"
The Alameda County Deputy Sheriffs' Activities League,,,"https://acdsal.org/","Engages at-risk youth through sports, mentorship, and educational programs.","https://acdsal.org/about-us/"
