name,founded,website,photo,description,info
California Association of Food Banks,1995,"https://www.cafoodbanks.org","https://www.cafoodbanks.org/wp-content/uploads/2020/12/cafb_logo_landscape_english.png","Supports a network of food banks to alleviate hunger and improve food security in California.","https://www.cafoodbanks.org/about"
California Community Foundation,1915,"https://www.calfund.org","https://www.calfund.org/wp-content/uploads/2019/05/CCF-Logo-RGB-No-Tagline.png","Connects donors with causes and provides grants to address critical issues in the state.","https://www.calfund.org/about"
California State Parks Foundation,1969,"https://www.calparks.org","https://www.calparks.org/wp-content/uploads/2020/05/CSPF-Primary-Logo-RGB.png","Protects and enhances California's state parks for future generations to enjoy.","https://www.calparks.org/about"
California Wildlife Center,1998,"https://cawildlife.org","https://cawildlife.org/wp-content/uploads/2021/06/CWC-Logo-Transparent-Background-CMYK.png","Rescues and rehabilitates injured and orphaned wildlife in California.","https://cawildlife.org/about"
California Community Colleges Foundation,1966,"https://foundationccc.org","https://foundationccc.org/wp-content/uploads/2018/09/CCC_Foundation_logo_RGB_1.png","Supports California's community colleges and student success initiatives.","https://foundationccc.org/about"
California Native Plant Society,1965,"https://www.cnps.org","https://www.cnps.org/sites/default/files/logo.png","Promotes the appreciation and conservation of California's native plants.","https://www.cnps.org/about"
Feeding California,2012,"https://feedingca.org","https://feedingca.org/wp-content/uploads/2020/04/Feeding-CA-Logo-Color-Horizontal.png","Unites the state's food banks to end hunger and improve nutrition for all Californians.","https://feedingca.org/about"
California Bicycle Coalition,1994,"https://www.calbike.org","https://www.calbike.org/wp-content/uploads/2018/12/calbike-logo-300x154.png","Advocates for safe and accessible bicycling throughout California.","https://www.calbike.org/about"
California Art Club,1909,"https://www.californiaartclub.org","https://www.californiaartclub.org/wp-content/uploads/2019/10/CAC-Logo-Horizontal.png","Promotes traditional fine arts and representational art in California.","https://www.californiaartclub.org/about"
California Film Institute,1978,"https://www.cafilm.org","https://www.cafilm.org/wp-content/uploads/2021/01/CFI_LOGO_FULL_COLOR_RGB_300DPI.png","Celebrates film as art and education through screenings, festivals, and programs.","https://www.cafilm.org/about"
California Wilderness Coalition,1976,"https://www.calwild.org","https://www.calwild.org/wp-content/uploads/2016/03/CalWild-logo-horizontal_rgb.png","Protects California's wild lands and rivers through conservation and advocacy.","https://www.calwild.org/about"
California Preservation Foundation,1978,"https://californiapreservation.org","https://californiapreservation.org/wp-content/uploads/2018/08/CPF-Logo-Horizontal.png","Advocates for the preservation of California's historic places and cultural heritage.","https://californiapreservation.org/about"
California Foundation for Stronger Communities,1981,"https://www.calfund.org/sfc","https://www.calfund.org/wp-content/uploads/2019/05/CCF-Logo-RGB-No-Tagline.png","Invests in nonprofit organizations addressing pressing issues in California.","https://www.calfund.org/sfc/about"
California Native American Heritage Commission,1976,"https://nahc.ca.gov","https://nahc.ca.gov/wp-content/uploads/2019/07/NAHC-logo-vertical-RGB.png","Preserves and protects Native American cultural resources and heritage in the state.","https://nahc.ca.gov/about"
California ReLeaf,1989,"https://californiareleaf.org","https://californiareleaf.org/wp-content/uploads/2020/11/californiareleaf_logo_1000px.png","Promotes the planting and care of trees for healthier urban environments in California.","https://californiareleaf.org/about"
California Urban Forests Council,1968,"https://www.caufc.org","https://www.caufc.org/wp-content/uploads/2018/03/logo.png","Advocates for urban forestry and tree planting in communities across the state.","https://www.caufc.org/about"
California Missions Foundation,1998,"https://californiamissionsfoundation.org","https://californiamissionsfoundation.org/wp-content/uploads/2019/03/CMF_Logo_Color-RGB.png","Preserves and restores California's historic missions and associated monuments.","https://californiamissionsfoundation.org/about"
California Youth Connection,1988,"https://calyouthconn.org","https://calyouthconn.org/wp-content/uploads/2021/08/CYCs-Tomorrow-Today-Logo.png","Empowers foster youth to improve the foster care system in California.","https://calyouthconn.org/about"
California School-Age Consortium,1985,"https://www.californiasac.org","https://www.californiasac.org/wp-content/uploads/2016/07/csac-logo-1-200.png","Supports out-of-school time programs and services for California's youth.","https://www.californiasac.org/about"
