name,founded,website,photo,description,info
Los Angeles Regional Food Bank,1973,"https://www.lafoodbank.org","https://www.lafoodbank.org/wp-content/uploads/2020/06/2020-Logo-Color-Updated.png","Fights hunger and provides food for those in need throughout Los Angeles County.","https://www.lafoodbank.org/about-us/"
Homeboy Industries,1988,"https://www.homeboyindustries.org","https://www.homeboyindustries.org/wp-content/uploads/2020/08/Homeboy_Logo_RGB_2019-01.png","Offers job training, support, and services to formerly gang-involved and previously incarcerated individuals.","https://www.homeboyindustries.org/about/"
Los Angeles LGBT Center,1969,"https://lalgbtcenter.org","https://lalgbtcenter.org/wp-content/uploads/2020/07/lalgbtcenter_logo.png","Provides health, housing, and legal services to the LGBTQ+ community and beyond.","https://lalgbtcenter.org/about-us/"
Habitat for Humanity of Greater Los Angeles,1990,"https://www.habitatla.org","https://www.habitatla.org/wp-content/uploads/2020/09/Habitat-for-Humanity-Greater-Los-Angeles-Logo-Blue.png","Builds affordable housing and revitalizes neighborhoods in partnership with low-income families.","https://www.habitatla.org/about-us/"
Children's Hospital Los Angeles,1901,"https://www.chla.org","https://www.chla.org/sites/default/files/images/CHLA_LOGO_PMS278.png","Provides pediatric healthcare, research, and advocacy to improve the lives of children.","https://www.chla.org/about-us/"
Los Angeles Mission,1936,"https://www.losangelesmission.org","https://www.losangelesmission.org/wp-content/uploads/2018/11/LAM_Logo_CMYK_Transparent.png","Offers emergency shelter, food, and support services to homeless individuals and families.","https://www.losangelesmission.org/about-us/"
TreePeople,1973,"https://www.treepeople.org","https://www.treepeople.org/wp-content/uploads/2020/10/TP_Horizontal_PurpleBlue_Logo-e1603791471273.png","Engages communities in tree planting, sustainable urban forest management, and environmental education.","https://www.treepeople.org/about-us/"
United Way of Greater Los Angeles,1922,"https://www.unitedwayla.org","https://www.unitedwayla.org/sites/unitedway/files/styles/medium/public/images/logos/uw-glalogo.png?itok=TYNN1kWZ","Works to end poverty and homelessness through advocacy and community initiatives.","https://www.unitedwayla.org/about-us/"
Los Angeles County Museum of Art (LACMA),1965,"https://www.lacma.org","https://www.lacma.org/sites/all/themes/losangeles/images/logo.png","Preserves and shares art and culture from around the world with the Los Angeles community.","https://www.lacma.org/about-us/"
Goodwill Southern California,1916,"https://www.goodwillsocal.org","https://www.goodwillsocal.org/media/W1siZiIsIjIwMTUvMDYvMDMvMTIvMTUvMTcvOTcvMjAzL2dvb2Rnd2lsbHNjb2NhbF9sb2dvXzJfZW5jbGUuZ2lmIl1d/goodwill-logo-2-english.gif","Provides job training and employment services to individuals with disabilities and disadvantages.","https://www.goodwillsocal.org/about-us/"
Los Angeles Regional Reentry Partnership,,,"https://www.lareentry.org","A collaborative effort to support formerly incarcerated individuals in their successful reintegration into society.","https://www.lareentry.org/about-us/"
Heal the Bay,1985,"https://healthebay.org","https://healthebay.org/wp-content/uploads/2018/02/Heal-the-Bay-Primary-Logo.png","Protects and improves the health of Southern California's coastal waters and watersheds.","https://healthebay.org/about-us/"
Los Angeles Conservancy,1978,"https://www.laconservancy.org","https://www.laconservancy.org/sites/default/files/logo.png","Preserves and revitalizes historic places throughout Los Angeles County.","https://www.laconservancy.org/about-us/"
826LA,2005,"https://826la.org","https://826la.org/wp-content/uploads/2019/05/826LA_logos_Large_Full-color.png","Empowers young writers through free writing and tutoring programs.","https://826la.org/about/"
Inner-City Arts,1989,"https://www.inner-cityarts.org","https://www.inner-cityarts.org/wp-content/uploads/2018/03/inner-city-arts.png","Provides arts education and creative experiences to underserved youth in Los Angeles.","https://www.inner-cityarts.org/about/"
Los Angeles Mission College Foundation,,,"https://www.lamission.edu/foundation/","Supports student success and educational initiatives at Los Angeles Mission College.","https://www.lamission.edu/foundation/about-the-foundation.aspx"
Friends of the Los Angeles River (FoLAR),1986,"https://folar.org","https://folar.org/wp-content/uploads/2020/07/folar_logo_color-300x170.png","Advocates for the revitalization and protection of the Los Angeles River.","https://folar.org/about-us/"
Project Angel Food,1989,"https://www.angelfood.org","https://www.angelfood.org/wp-content/uploads/2020/06/paf-logo.png","Delivers free and nutritious meals to individuals battling critical illness.","https://www.angelfood.org/about-us/"
Los Angeles County Bicycle Coalition,1998,"https://www.la-bike.org","https://www.la-bike.org/wp-content/uploads/2016/03/NEW-LACBC-logo-2016.png","Promotes cycling for a healthier, safer, and more sustainable Los Angeles.","https://www.la-bike.org/about/"
