name,founded,website,description,info
San Francisco-Marin Food Bank,1987,"https://www.sfmfoodbank.org","Works to end hunger in San Francisco and Marin by providing food to those in need.","https://www.sfmfoodbank.org/about-us/"
Habitat for Humanity Greater San Francisco,1989,"https://www.habitatgsf.org","Builds affordable housing and empowers families in need of housing in the Bay Area.","https://www.habitatgsf.org/about-us/"
Homeless Prenatal Program,1989,"https://www.homelessprenatal.org","Supports homeless and low-income families in prenatal and parenting services.","https://www.homelessprenatal.org/about-us/"
Peninsula Humane Society & SPCA,1952,"https://www.phs-spca.org","Promotes animal welfare, rescue, and adoption in San Mateo County.","https://www.phs-spca.org/about-us/"
Boys & Girls Clubs of San Francisco,1891,"https://www.kidsclub.org","Provides youth development programs and support for young people in the Bay Area.","https://www.kidsclub.org/about-us/"
Second Harvest of Silicon Valley,1974,"https://www.shfb.org","Distributes food to individuals and families in need in Santa Clara and San Mateo Counties.","https://www.shfb.org/about-us/"
Crisis Support Services of Alameda County,1966,"https://www.crisissupport.org","Offers crisis intervention, suicide prevention, and support services.","https://www.crisissupport.org/about-us/"
826 Valencia,2002,"https://www.826valencia.org","Provides writing and educational programs for students in San Francisco.","https://www.826valencia.org/about-us/"
The Exploratorium,1969,"https://www.exploratorium.edu","Engages people in scientific exploration and discovery through interactive exhibits and programs.","https://www.exploratorium.edu/about"
San Francisco SPCA,1868,"https://www.sfspca.org","Advocates for animal welfare and provides animal care services in the Bay Area.","https://www.sfspca.org/about-us/"
Swords to Plowshares,1974,"https://www.swords-to-plowshares.org","Supports veterans with housing, employment, and healthcare services.","https://www.swords-to-plowshares.org/about-us/"
SF-Marin Food Bank,1987,"https://www.sfmfoodbank.org","Works to end hunger in San Francisco and Marin by providing food to those in need.","https://www.sfmfoodbank.org/about-us/"
St. Anthony Foundation,1950,"https://www.stanthonysf.org","Serves low-income and homeless individuals with essential services and support.","https://www.stanthonysf.org/about-us/"
Project Open Hand,1985,"https://www.openhand.org","Provides meals and nutrition services to seniors and critically ill individuals in the Bay Area.","https://www.openhand.org/about"
826 National,2002,"https://826national.org","Supports youth writing and literacy programs in communities across the United States.","https://826national.org/about-us/"
Compass Family Services,1914,"https://www.compass-sf.org","Helps homeless families achieve housing stability and self-sufficiency.","https://www.compass-sf.org/about-us/"
San Francisco Education Fund,1963,"https://www.sfedfund.org","Supports public schools and educators to enhance student success in San Francisco.","https://www.sfedfund.org/about-us/"
La Casa de las Madres,1976,"https://www.lacasa.org","Provides support and services for survivors of domestic violence in San Francisco.","https://www.lacasa.org/about-us/"
Alameda County Community Food Bank,1985,"https://www.accfb.org","Distributes food and resources to individuals and families in Alameda County.","https://www.accfb.org/about-us/"
Marin Humane,1907,"https://www.marinhumane.org","Promotes animal welfare and provides animal care services in Marin County.","https://www.marinhumane.org/about-us/"
