name,founded,website,description,info
Feeding America,1979,"https://www.feedingamerica.org","Works to end hunger in the United States through a network of food banks and meal programs.","https://www.feedingamerica.org/about-us"
United Way Worldwide,1887,"https://www.unitedway.org","Supports communities in health, education, and financial stability through local organizations.","https://www.unitedway.org/about-us"
Goodwill Industries International,1902,"https://www.goodwill.org","Provides job training and employment services to individuals facing barriers to employment.","https://www.goodwill.org/about-us"
Salvation Army USA,1865,"https://www.salvationarmyusa.org","Offers a range of social services, including food assistance, shelter, and disaster relief.","https://www.salvationarmyusa.org/about-us"
National Alliance to End Homelessness,1983,"https://endhomelessness.org","Works to prevent and end homelessness in the United States through policy and advocacy.","https://endhomelessness.org/about-us"
CARE USA,1945,"https://www.care.org","Fights global poverty and provides disaster relief and healthcare services.","https://www.care.org/about-us"
Save the Children USA,1919,"https://www.savethechildren.org","Supports children's education, health, and safety worldwide, including the United States.","https://www.savethechildren.org/about-us"
American Red Cross,1881,"https://www.redcross.org","Provides disaster relief, blood donation, and health and safety training services.","https://www.redcross.org/about-us"
Children's Defense Fund,1973,"https://www.childrensdefense.org","Advocates for policies and programs to ensure every child has a healthy start in life.","https://www.childrensdefense.org/about-us"
Habitat for Humanity International,1976,"https://www.habitat.org","Builds safe, decent, and affordable housing for those in need worldwide.","https://www.habitat.org/about-us"
Feeding Children Everywhere,2010,"https://www.feedingchildreneverywhere.com","Works to end childhood hunger through meal packing and distribution programs.","https://www.feedingchildreneverywhere.com/about-us"
Mercy Corps,1979,"https://www.mercycorps.org","Provides humanitarian aid and supports communities in crisis around the world.","https://www.mercycorps.org/about-us"
City Harvest,1982,"https://www.cityharvest.org","Rescues and delivers surplus food to help feed those in need in New York City.","https://www.cityharvest.org/about-us"
National Council on Aging,1950,"https://www.ncoa.org","Advocates for older adults and provides resources to improve their health and economic security.","https://www.ncoa.org/about-us"
National Diaper Bank Network,2011,"https://nationaldiaperbanknetwork.org","Supports organizations providing diapers and other basic needs to families in need.","https://nationaldiaperbanknetwork.org/about-us"
LIFT (Lifting Individuals and Families Together),1998,"https://www.liftcommunities.org","Empowers individuals to break the cycle of poverty through coaching and support.","https://www.liftcommunities.org/about-us"
Share Our Strength,1984,"https://www.nokidhungry.org","Works to end childhood hunger in America through advocacy and partnerships.","https://www.nokidhungry.org/about-us"
National Community Action Foundation,1981,"https://ncaf.org","Supports community action agencies in their efforts to fight poverty and improve communities.","https://ncaf.org/about-us"
National Urban League,1910,"https://nul.org","Advocates for economic empowerment and social justice for African Americans and underserved communities.","https://nul.org/about-us"
Bread for the World,1974,"https://www.bread.org","Advocates for policies to end hunger and poverty in the United States and around the world.","https://www.bread.org/about-us"
